epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1457.8,0.58223,0.44704,1.13372,0.7799,0.81429,0.81676,0.57875,1.00194,0.88979,1.70893,0.0011882,0.0011882,0.0011882
43,1495.43,0.58346,0.43581,1.12617,0.87367,0.69163,0.8108,0.60308,0.99598,0.87452,1.7095,0.0011684,0.0011684,0.0011684
44,1532.09,0.5751,0.43706,1.13566,0.91633,0.78231,0.87446,0.59839,1.11883,0.76908,1.81081,0.0011486,0.0011486,0.0011486
45,1566.63,0.56666,0.43667,1.12151,0.90219,0.7,0.82264,0.58801,1.10741,0.89009,1.82204,0.0011288,0.0011288,0.0011288
46,1601.21,0.57783,0.43451,1.13004,0.83432,0.71429,0.79788,0.59054,1.04912,0.86765,1.65321,0.001109,0.001109,0.001109
47,1635.64,0.56095,0.42282,1.12038,0.87107,0.72857,0.83029,0.6333,0.92076,0.8173,1.54823,0.0010892,0.0010892,0.0010892
48,1670.27,0.56154,0.41842,1.11704,0.91178,0.64286,0.77382,0.54167,1.09675,0.93852,1.75474,0.0010694,0.0010694,0.0010694
49,1704.79,0.56497,0.41963,1.12464,0.92829,0.73975,0.84716,0.61849,1.03663,0.7876,1.69265,0.0010496,0.0010496,0.0010496
50,1739.36,0.54008,0.40782,1.10987,0.88315,0.75584,0.84369,0.61247,0.98389,0.76229,1.64427,0.0010298,0.0010298,0.0010298
51,1773.89,0.53613,0.40445,1.10203,0.91043,0.74286,0.84156,0.61309,0.97605,0.85423,1.65284,0.00101,0.00101,0.00101
52,1808.41,0.54805,0.41137,1.10281,0.92058,0.66239,0.83555,0.64075,0.92335,0.86298,1.59231,0.0009902,0.0009902,0.0009902
53,1842.91,0.53017,0.40055,1.10266,0.84036,0.75205,0.8313,0.61651,0.98162,0.78358,1.60473,0.0009704,0.0009704,0.0009704
54,1877.45,0.53262,0.39416,1.10499,0.89557,0.73511,0.8181,0.60331,0.97389,0.82916,1.71834,0.0009506,0.0009506,0.0009506
55,1912.03,0.5239,0.38523,1.09542,0.88444,0.77143,0.85245,0.64362,0.94507,0.81301,1.65012,0.0009308,0.0009308,0.0009308
56,1946.65,0.51878,0.38323,1.09408,0.93035,0.72857,0.8366,0.64922,0.88179,0.75553,1.56078,0.000911,0.000911,0.000911
57,1981.36,0.53109,0.39424,1.09825,0.86495,0.74286,0.85505,0.63382,0.95148,0.74765,1.64252,0.0008912,0.0008912,0.0008912
58,2015.92,0.51453,0.37873,1.08288,0.90834,0.7,0.83061,0.61797,0.9747,0.79439,1.63877,0.0008714,0.0008714,0.0008714
59,3688.45,0.52426,0.38371,1.09509,0.89899,0.74286,0.81581,0.60918,0.99773,0.88198,1.61821,0.0008516,0.0008516,0.0008516
60,3722.82,0.50906,0.37378,1.08447,0.85021,0.77143,0.84149,0.63681,0.95146,0.76424,1.63452,0.0008318,0.0008318,0.0008318
61,3756.96,0.50255,0.37736,1.08549,0.93383,0.7,0.83863,0.62545,0.95447,0.76932,1.6574,0.000812,0.000812,0.000812
62,3791.28,0.50137,0.37211,1.08125,0.9432,0.71168,0.84503,0.6738,0.90983,0.73518,1.55441,0.0007922,0.0007922,0.0007922
63,3825.88,0.49915,0.37477,1.07115,0.88699,0.78487,0.84884,0.65205,0.93798,0.74719,1.58586,0.0007724,0.0007724,0.0007724
64,3860.46,0.48982,0.37501,1.07281,0.93082,0.78571,0.88005,0.71311,0.85067,0.68967,1.47411,0.0007526,0.0007526,0.0007526
65,3895.38,0.49689,0.37634,1.0754,0.81786,0.81429,0.86303,0.6422,0.92026,0.72276,1.59157,0.0007328,0.0007328,0.0007328
66,3929.97,0.48595,0.3648,1.07722,0.87903,0.74286,0.85057,0.63663,0.91263,0.71748,1.60211,0.000713,0.000713,0.000713
67,3964.48,0.48003,0.35828,1.06664,0.88476,0.71429,0.81914,0.63885,0.99064,0.76738,1.6494,0.0006932,0.0006932,0.0006932
68,3999.12,0.47869,0.35826,1.06735,0.84105,0.75714,0.83602,0.64635,0.97372,0.69119,1.61401,0.0006734,0.0006734,0.0006734
